feature_index,block_type,meta,meaning
45,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_6
46,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_7
47,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_8
48,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_9
49,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_10
50,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_11
51,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_12
52,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_13
53,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_14
54,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_15
55,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_16
56,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_17
57,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_18
58,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_19
59,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_20
60,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_21
61,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_22
62,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_23
63,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_24
64,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_25
65,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_26
66,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_27
67,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_28
68,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_29
69,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_30
70,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_31
71,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__atomic_mass_norm
72,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__atomic_number_norm
73,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__atomic_radius_norm
74,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__electron_affinity_norm
75,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__count
76,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__magmom
77,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_0
78,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_1
79,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_2
80,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_3
81,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_4
82,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_5
83,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_6
84,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_7
85,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_8
86,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_9
87,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_10
88,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_11
89,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_12
90,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_13
91,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_14
92,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_15
93,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_16
94,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_17
95,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_18
96,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_19
97,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_20
98,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_21
99,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_22
100,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_23
101,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_24
102,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_25
103,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_26
104,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_27
105,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_28
106,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_29
107,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_30
108,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__OFM_component_31
109,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__atomic_mass_norm
110,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__atomic_number_norm
111,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__atomic_radius_norm
112,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__mean__electron_affinity_norm
113,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__magmom
114,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_0
115,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_1
116,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_2
117,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_3
118,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_4
119,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_5
120,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_6
121,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_7
122,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_8
123,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_9
124,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_10
125,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_11
126,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_12
127,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_13
128,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_14
129,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_15
130,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_16
131,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_17
132,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_18
133,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_19
134,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_20
135,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_21
136,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_22
137,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_23
138,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_24
139,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_25
140,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_26
141,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_27
142,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_28
143,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_29
144,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_30
145,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__OFM_component_31
146,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__atomic_mass_norm
147,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__atomic_number_norm
148,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__atomic_radius_norm
149,species_block,"{'type': 'species_block', 'species': 'Al'}",Al__std__electron_affinity_norm
150,species_block,"{'type': 'species_block', 'species': 'As'}",As__count
151,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__magmom
152,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_0
153,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_1
154,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_2
155,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_3
156,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_4
157,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_5
158,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_6
159,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_7
160,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_8
161,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_9
162,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_10
163,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_11
164,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_12
165,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_13
166,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_14
167,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_15
168,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_16
169,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_17
170,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_18
171,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_19
172,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_20
173,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_21
174,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_22
175,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_23
176,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_24
177,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_25
178,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_26
179,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_27
180,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_28
181,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_29
182,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_30
183,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__OFM_component_31
184,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__atomic_mass_norm
185,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__atomic_number_norm
186,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__atomic_radius_norm
187,species_block,"{'type': 'species_block', 'species': 'As'}",As__mean__electron_affinity_norm
188,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__magmom
189,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_0
190,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_1
191,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_2
192,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_3
193,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_4
194,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_5
195,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_6
196,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_7
197,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_8
198,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_9
199,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_10
200,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_11
201,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_12
202,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_13
203,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_14
204,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_15
205,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_16
206,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_17
207,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_18
208,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_19
209,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_20
210,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_21
211,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_22
212,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_23
213,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_24
214,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_25
215,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_26
216,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_27
217,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_28
218,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_29
219,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_30
220,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__OFM_component_31
221,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__atomic_mass_norm
222,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__atomic_number_norm
223,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__atomic_radius_norm
224,species_block,"{'type': 'species_block', 'species': 'As'}",As__std__electron_affinity_norm
225,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__count
226,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__magmom
227,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_0
228,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_1
229,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_2
230,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_3
231,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_4
232,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_5
233,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_6
234,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_7
235,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_8
236,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_9
237,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_10
238,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_11
239,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_12
240,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_13
241,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_14
242,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_15
243,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_16
244,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_17
245,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_18
246,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_19
247,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_20
248,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_21
249,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_22
250,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_23
251,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_24
252,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_25
253,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_26
254,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_27
255,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_28
256,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_29
257,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_30
258,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__OFM_component_31
259,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__atomic_mass_norm
260,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__atomic_number_norm
261,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__atomic_radius_norm
262,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__mean__electron_affinity_norm
263,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__magmom
264,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_0
265,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_1
266,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_2
267,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_3
268,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_4
269,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_5
270,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_6
271,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_7
272,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_8
273,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_9
274,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_10
275,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_11
276,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_12
277,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_13
278,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_14
279,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_15
280,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_16
281,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_17
282,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_18
283,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_19
284,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_20
285,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_21
286,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_22
287,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_23
288,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_24
289,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_25
290,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_26
291,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_27
292,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_28
293,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_29
294,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_30
295,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__OFM_component_31
296,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__atomic_mass_norm
297,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__atomic_number_norm
298,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__atomic_radius_norm
299,species_block,"{'type': 'species_block', 'species': 'Au'}",Au__std__electron_affinity_norm
300,species_block,"{'type': 'species_block', 'species': 'B'}",B__count
301,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__magmom
302,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_0
303,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_1
304,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_2
305,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_3
306,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_4
307,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_5
308,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_6
309,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_7
310,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_8
311,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_9
312,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_10
313,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_11
314,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_12
315,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_13
316,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_14
317,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_15
318,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_16
319,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_17
320,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_18
321,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_19
322,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_20
323,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_21
324,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_22
325,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_23
326,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_24
327,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_25
328,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_26
329,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_27
330,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_28
331,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_29
332,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_30
333,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__OFM_component_31
334,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__atomic_mass_norm
335,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__atomic_number_norm
336,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__atomic_radius_norm
337,species_block,"{'type': 'species_block', 'species': 'B'}",B__mean__electron_affinity_norm
